tweet_id,text,account,domain,background,label
1603396689552965635,fútbolplaya copaconosur 🇦🇷🇧🇴🇺🇾🇨🇱 argentina enfrenta esta noche a chile por el título de la copa que se realiza en la ciudad de iquique,@Argentina,PERSON,SPORT,ARG
1608210531713695745,opinión en cuestiones de igualdad de género salud reproductiva derechos lgtbi o incluso migración la sociedad estadounidense e considerablemente más abierta de lo que suponen republicanos como master por jorge tamames,@publico_es,ORG,NEW,ES
1608881936512032768,picaenpunta el club inglés quiere llevarse al volante argentino a toda costa y le hizo una propuesta al equipo luso que podría aceptar un acuerdo en los próximos días,@cronica,ORG,NEW,ARG
1550218833729933312,mira este video sus segundos importan y merecen la pena,@AlejandroSanz,PERSON,ART,ES
1608743487448522752,la transparencia de ratajkowski e increíble ha opinado aunque no tiene tan buenas palabras para beyoncé,@laSextaTV,ORG,NEW,ES
1510240833810972679,malvinas40,@mauriciomacri,PERSON,POL,ARG
1607745714502729728,la preselección juvenil se ejercita hasta el miércoles,@Argentina,PERSON,SPORT,ARG
1608408769175715843,la fiesta y la vida en la antártida e como gran hermano pero con actividades en serio,@clarincom,ORG,NEW,ARG
1451226424057208839,dejaron a 1300000 chico fuera del sistema educativo,@diegosantilli,PERSON,POL,ARG
1607364607315787778,centenares de jóvenes bloquean varias calles en la zona del bernabéu en un macrobotellón el día de nochebuena,@elmundoes,ORG,NEW,ES
1608598746622820352,receta de lengua a la vinagreta la vedette de la fiesta,@cronica,ORG,NEW,ARG
1603070504054984709,deseo de corazón que todo salga bien,@InesArrimadas,PERSON,POL,ES
1602979010211971072,la ambición desmedida de sánchez e la mayor amenaza a nuestra democracia,@InesArrimadas,PERSON,POL,ES
1465104755898732546,para que la argentina se desarrolle económicamente tenemos que generar confianza,@mauriciomacri,PERSON,POL,ARG
1451226445292912646,hay que planificar,@diegosantilli,PERSON,POL,ARG
1568007894930538496,🇦🇷🇺🇸 la empresa lamb weston holding primera productora de papa congeladas en los estados unidos y segunda a nivel mundial tiene prevista una inversión de 250 millones de dólares en nuestro país para instalar una planta de producción en la ciudad de mar del plata,@SergioMassa,PERSON,POL,ARG
1580338985091506176,hoy participé del encuentro de ciencia tecnología e innovación para la soberanía nacional en tecnópolis,@alferdez,PERSON,POL,ARG
1599882572393508864,hablé con marcedaless y confío en sus palabras,@horaciorlarreta,PERSON,POL,ARG
1608801792317423617,el enfermero que bailó con una nena cuando terminó la quimioterapia y se hizo viral por fernanda jara,@infobae,ORG,NEW,ARG
1608586444381249536,detalles atentado a cristina la cámara federal porteña ordenó ampliar la declaración indagatoria de uno de los acusados,@cronica,ORG,NEW,ARG
1509493410322952192,¡soberanía,@Santi_ABASCAL,PERSON,POL,ES
1604246309401030657,🇦🇷 hasta el 3112 registrate y reservá un metaseat gratis en el estadio virtual metalantises 🎁 los propietarios de un metaseat participarán en el sorteo,@Argentina,PERSON,SPORT,ARG
1562459033835294725,hoy más que nunca junto por el cambio,@horaciorlarreta,PERSON,POL,ARG
1608108900879929346,✍santiago escobar,@perfilcom,ORG,NEW,ARG
1587218582102020099,ha empezado oficialmente la navidad feliz navidad a todo el mundo,@IbaiLlanos,PERSON,MEDIA,ES
1538164810139017217,la millor manera de que deixem danar a ginebra és que deixin de tenir a la marta rovira segrestada a ginebra,@gabrielrufian,PERSON,POL,ES
